dataset,segment_id,model,n_frames,n_iters,delta_FR,delta_IMU,duration_s,mean_err_deg_s,median_err_deg_s,mean_dir_err_deg,mean_beta
boxes_rotation,seg_A,thesis_imu,25,100,0.2,0.1,0.5,11.256260821672672,10.999922656453379,0.6359210430645895,1.1481163378676997
boxes_rotation,seg_A,thesis_imu,25,100,0.2,0.2,0.5,7.6828143388646115,7.353804546640672,0.3166402835742921,1.0963700018554758
boxes_rotation,seg_A,thesis_imu,25,100,0.2,0.3,0.5,5.870754475648723,5.597915751216675,0.21768604367454195,1.0718617407599458
boxes_rotation,seg_A,thesis_imu,25,100,0.2,0.5,0.5,3.9997352445655334,3.8452542383911092,0.1369920105287787,1.0477476826703929
boxes_rotation,seg_A,thesis_imu,25,100,0.3,0.1,0.5,13.47865696026679,13.369786592132169,0.9131149501708319,1.182725656644418
boxes_rotation,seg_A,thesis_imu,25,100,0.3,0.2,0.5,9.724466596548936,9.39021568345664,0.4568494005276957,1.125424884213541
boxes_rotation,seg_A,thesis_imu,25,100,0.3,0.3,0.5,7.685192038515741,7.357969725032801,0.3110474768361123,1.096417583633689
boxes_rotation,seg_A,thesis_imu,25,100,0.3,0.5,0.5,5.446206908749572,5.208454359658383,0.1964628114056543,1.0662891023987933
boxes_rotation,seg_A,thesis_imu,25,100,0.5,0.1,0.5,16.239769796142255,16.516939320195064,1.4026875361787328,1.228119288609343
boxes_rotation,seg_A,thesis_imu,25,100,0.5,0.2,0.5,12.478810689525973,12.24485072847868,0.7313453770155361,1.1670962253950703
boxes_rotation,seg_A,thesis_imu,25,100,0.5,0.3,0.5,10.28199181395187,9.947670997131656,0.492428432326245,1.1336593911619475
boxes_rotation,seg_A,thesis_imu,25,100,0.5,0.5,0.5,7.6866201306251245,7.356274585598143,0.30709092977462843,1.0964467831184335
boxes_rotation,seg_A,thesis_imu,50,75,0.1,0.1,1.0,5.476906102589302,4.618310835605608,1.1556983525497828,1.0663396430349317
boxes_rotation,seg_A,thesis_imu,50,75,0.1,0.2,1.0,3.2732746151966348,2.8858511948792986,0.398077012922221,1.0396099066741726
boxes_rotation,seg_A,thesis_imu,50,75,0.1,0.3,1.0,2.351293267088118,2.0796555182566805,0.22116781647345804,1.0283587850429134
boxes_rotation,seg_A,thesis_imu,50,75,0.1,0.5,1.0,1.5090851576031827,1.3333819529805773,0.11350938508658279,1.018091524203181
boxes_rotation,seg_A,thesis_imu,50,75,0.2,0.1,1.0,8.361234244765718,6.790203630817995,2.446538652575042,1.1063158733976521
boxes_rotation,seg_A,thesis_imu,50,75,0.2,0.2,1.0,5.412934947344313,4.660748229325243,0.951235450087771,1.0666146131922778
boxes_rotation,seg_A,thesis_imu,50,75,0.2,0.3,1.0,4.060548266304932,3.6015925292114113,0.527131872288248,1.0497217900677542
boxes_rotation,seg_A,thesis_imu,50,75,0.2,0.5,1.0,2.7285702798945746,2.418581718051959,0.258297419841183,1.033149261512506
boxes_rotation,seg_A,thesis_imu,50,75,0.3,0.1,1.0,10.35023361297865,8.538548653618587,3.7428808623685574,1.139884112801715
boxes_rotation,seg_A,thesis_imu,50,75,0.3,0.2,1.0,6.999377173825348,5.882632771075382,1.562292989501489,1.0874650729848883
boxes_rotation,seg_A,thesis_imu,50,75,0.3,0.3,1.0,5.3950351830780905,4.689458537316547,0.8905863597827351,1.0667189082853483
boxes_rotation,seg_A,thesis_imu,50,75,0.3,0.5,1.0,3.7478321881237493,3.327004460486177,0.431947354679232,1.0459566774964824
boxes_rotation,seg_A,thesis_imu,50,75,0.5,0.1,1.0,13.185287825020584,12.583737128765055,6.21028561397504,1.1847464600929174
boxes_rotation,seg_A,thesis_imu,50,75,0.5,0.2,1.0,9.322569482161795,7.615296922737178,2.8105850323740564,1.1219959407569924
boxes_rotation,seg_A,thesis_imu,50,75,0.5,0.3,1.0,7.423495321998681,6.232803065940271,1.6909769195907947,1.0935872399960573
boxes_rotation,seg_A,thesis_imu,50,75,0.5,0.5,1.0,5.382405555657607,4.714103198153786,0.8449504100064368,1.0668140110624313
boxes_rotation,seg_A,thesis_imu,50,100,0.1,0.1,1.0,5.347142285350538,4.783380854347733,0.7030617519123988,1.067128799812699
boxes_rotation,seg_A,thesis_imu,50,100,0.1,0.2,1.0,3.236732736143071,2.9092351535359002,0.24338965267921236,1.040150980038191
boxes_rotation,seg_A,thesis_imu,50,100,0.1,0.3,1.0,2.3349229903017616,2.096581779838454,0.14223103604272358,1.0286859291907513
boxes_rotation,seg_A,thesis_imu,50,100,0.1,0.5,1.0,1.5029950747243008,1.3488577716291883,0.07814578794753867,1.018261313264463
boxes_rotation,seg_A,thesis_imu,50,100,0.2,0.1,1.0,8.08761009191943,6.955855066606679,1.6304517637169618,1.1044142468107478
boxes_rotation,seg_A,thesis_imu,50,100,0.2,0.2,1.0,5.316441908096364,4.810589870854978,0.5859851205542251,1.0674624921207783
boxes_rotation,seg_A,thesis_imu,50,100,0.2,0.3,1.0,4.013104841647072,3.6313161979839945,0.3266363568746543,1.0503867406407188
boxes_rotation,seg_A,thesis_imu,50,100,0.2,0.5,1.0,2.709598373899268,2.4358767399402383,0.16803278412293113,1.0335152524685816
boxes_rotation,seg_A,thesis_imu,50,100,0.3,0.1,1.0,9.94289453283487,8.213600400996862,2.580925667284616,1.132745837430128
boxes_rotation,seg_A,thesis_imu,50,100,0.3,0.2,1.0,6.835462218311469,6.100132840375098,0.9999292705388594,1.0879055460939875
boxes_rotation,seg_A,thesis_imu,50,100,0.3,0.3,1.0,5.308170534116965,4.818302981342156,0.5527174334703039,1.067570407157344
boxes_rotation,seg_A,thesis_imu,50,100,0.3,0.5,1.0,3.711766285191977,3.3557854647377745,0.27320391779179437,1.0465281301802012
boxes_rotation,seg_A,thesis_imu,50,100,0.5,0.1,1.0,12.519306785571137,10.510089230434048,4.545564625046943,1.1796470488377295
boxes_rotation,seg_A,thesis_imu,50,100,0.5,0.2,1.0,9.022653054470142,7.714578156171119,1.9125295422325421,1.1187401586843222
boxes_rotation,seg_A,thesis_imu,50,100,0.5,0.3,1.0,7.246988408642107,6.440582311873483,1.0957539113921084,1.0938047986222694
boxes_rotation,seg_A,thesis_imu,50,100,0.5,0.5,1.0,5.3018236133021075,4.823908591607665,0.5281010627341989,1.06764493101437
boxes_rotation,seg_A,thesis_imu,150,75,0.1,0.1,3.0,6.581296832347414,3.6839823202179502,2.0279249426629082,1.0903804506877959
boxes_rotation,seg_A,thesis_imu,150,75,0.1,0.2,3.0,4.005947437694144,2.219941920845603,0.686234938247389,1.0510465003918168
boxes_rotation,seg_A,thesis_imu,150,75,0.1,0.3,3.0,2.9035060823055883,1.5488042728497033,0.38632063892894797,1.0358501922716503
boxes_rotation,seg_A,thesis_imu,150,75,0.1,0.5,3.0,1.8774646082282485,0.9740097171461404,0.20212955623840342,1.0225224107246262
boxes_rotation,seg_A,thesis_imu,150,75,0.2,0.1,3.0,9.79327928312301,5.804476986436342,4.374100727290484,1.1512813914599478
boxes_rotation,seg_A,thesis_imu,150,75,0.2,0.2,3.0,6.48539109207177,3.7210974590392,1.664828219303765,1.0889585690839834
boxes_rotation,seg_A,thesis_imu,150,75,0.2,0.3,3.0,4.928230171761487,2.7925711400668183,0.9109382925810814,1.0645704451094924
boxes_rotation,seg_A,thesis_imu,150,75,0.2,0.5,3.0,3.355013431289723,1.8134111797064403,0.4473683557853557,1.041992449085358
boxes_rotation,seg_A,thesis_imu,150,75,0.3,0.1,3.0,11.903937587010274,7.573238153486313,6.717896021129873,1.2007288991313418
boxes_rotation,seg_A,thesis_imu,150,75,0.3,0.2,3.0,8.264016293554862,4.698171027791059,2.7547198932579007,1.1200601867683038
boxes_rotation,seg_A,thesis_imu,150,75,0.3,0.3,3.0,6.458676087694215,3.7281043470907287,1.556531417462958,1.0885739528625202
boxes_rotation,seg_A,thesis_imu,150,75,0.3,0.5,3.0,4.5607602358805925,2.550830881161607,0.7430474091561307,1.0591447654251283
boxes_rotation,seg_A,thesis_imu,150,75,0.5,0.1,3.0,14.756939400756124,10.89976708703071,10.663265691556601,1.2646528711250153
